id,name,token_count
1,Blueberry Orange Chia Seed Pudding,148
2,Char Kway Teow,331
3,"Avocado, Tofu and Chickpea Salad",187
4,Barley Dessert,23683
5,Acai Berry Prosperity Pudding,181
6,Lower Sodium Asian Ginger Garlic Chili Fish,278
7,Longevity Soba Lou Hei,297
8,Season of Wealth,23831
9,Prosperity Wheel of Fortune,23795
10,Steamed Black Cod with Soba and Vegetables,247
11,Strawberry Cucumber Boost Smoothie,167
12,Tamil Style Vegetable Kurma,23637
13,Almond Fortune Cookies,374
14,Avocado Chocolate Log Cake,165
15,Baked Fruit Haven,161
16,Baked Salmon with Organic Mixed Rice,23828
17,Banana Mug Cake,23736
18,Banana Bliss Cake,20283
19,Cauliflower Pizza,235
20,Chickpea and Tomato Curry,215
21,Circle of Prosperity,178
22,Chilled Soya Pudding with Fresh Fruits,131
23,Easy Chocolate Cake,20421
24,Egg Omelette Wrap,274
25,Grilled Chicken Toast,23623
26,Gold in Abundance,197
27,Jeli Kacang Soya Longan,29
28,Kari Tomato Dan Kacang Kuda,29
29,Hearty Peanut Min Jiang Kueh,516
30,Mini Gingerbread Man,297
31,Mini Prawn Paste Toasts,24025
32,Oat Bars,23780
33,One Pot Vegetable Rice,246
34,Sliced Fish Bee Hoon Soup,23836
35,Soya Bean Longan Jelly,214
36,Coconut Shake,20357
37,Aromatic Chicken Fried Rice with Delight in a Leaf,317
38,Air fried Salmon with Brown Rice Vermicelli,390
39,Avocado Breakfast Toast,23842
40,Ayam Masak Merah,23768
41,Baked Chicken Ngoh Hiang,20768
42,"Baked Peppers Stuffed with Unpolished Rice, Raisins & Walnuts",20283
43,Berry-licious Pancakes,23740
44,Bulgur and Chickpea Salad,20582
45,Burrito Rice Salad Jar,23684
46,Captain Oats and Dates Cookies,20433
47,Chapati with Cucumber Yoghurt Dip,24368
48,Chia Seeds Pudding,23697
49,Chick Prawn Crunchy Toast,20481
50,Chicken and Edamame Pasta with Pesto Sauce,203
51,Chicken Burger with Rainbow Salad,278
52,Chicken Chips,23669
53,Chicken Essence with Mushroom,184
